"No.","Time","Source","Destination","Protocol","Length","Info"
"822","2.540834","192.168.255.117","74.125.250.102","UDP","147","63848  >  19305 Len=105"
"823","2.541297","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=369382 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"824","2.541297","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=370762 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"825","2.541297","104.70.235.169","192.168.255.117","TLSv1.2","954","Application Data"
"826","2.541297","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=373042 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"827","2.541297","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=374422 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"828","2.541297","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=375802 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"829","2.541297","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=377182 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"830","2.541456","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=2047 Ack=378562 Win=4193 Len=0"
"831","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=378562 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"832","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=379942 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"833","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=381322 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"834","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=382702 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"835","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=384082 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"836","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=385462 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"837","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=386842 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"838","2.546950","104.70.235.169","192.168.255.117","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
